"Order" "Id" "Blocks_order" "Stimulus" "Response" "Confidence_level" "RT" "Target_frequency" "Type_of_trial" "Category" "Target_frequency2"
"1" 1 1 "a1" 1 0 2 1650 1 2 2 12
"2" 2 1 "a1" 1 1 2 1939 1 1 5 12
"3" 3 1 "a1" 1 1 1 1319 1 1 6 12
"4" 4 1 "a1" 0 0 2 1844 1 4 2 12
"5" 5 1 "a1" 1 1 1 1315 1 1 6 12
"6" 6 1 "a1" 1 1 2 2111 1 1 5 12
"7" 7 1 "a1" 1 0 2 1945 1 2 2 12
"8" 8 1 "a1" 0 0 1 1006 1 4 1 12
"9" 9 1 "a1" 0 0 2 1283 1 4 2 12
"10" 10 1 "a1" 1 0 2 1515 1 2 2 12
"11" 11 1 "a1" 1 1 2 1646 1 1 5 12
"12" 12 1 "a1" 1 1 2 1835 1 1 5 12
"13" 13 1 "a1" 1 1 2 3213 1 1 5 12
"14" 14 1 "a1" 1 0 2 1605 1 2 2 12
"15" 15 1 "a1" 1 0 1 2675 1 2 1 12
"16" 16 1 "a1" 1 0 2 1510 1 2 2 12
"17" 17 1 "a1" 1 0 2 2097 1 2 2 12
"18" 18 1 "a1" 1 1 2 965 1 1 5 12
"19" 19 1 "a1" 1 1 1 937 1 1 6 12
"20" 20 1 "a1" 1 0 2 1846 1 2 2 12
"21" 21 1 "a1" 1 1 2 2341 1 1 5 12
"22" 22 1 "a1" 1 0 2 926 1 2 2 12
"23" 23 1 "a1" 1 1 1 1083 1 1 6 12
"24" 24 1 "a1" 0 0 2 1724 1 4 2 12
"25" 25 1 "a1" 1 1 1 2441 1 1 6 12
"26" 26 1 "a1" 1 1 1 1092 1 1 6 12
"27" 27 1 "a1" 1 1 1 715 1 1 6 12
"28" 28 1 "a1" 1 0 2 1614 1 2 2 12
"29" 29 1 "a1" 1 1 2 1079 1 1 5 12
"30" 30 1 "a1" 0 0 1 928 1 4 1 12
"31" 31 1 "a1" 0 0 2 1293 1 4 2 12
"32" 32 1 "a1" 1 1 1 1208 1 1 6 12
"33" 33 1 "a1" 1 1 1 798 1 1 6 12
"34" 34 1 "a1" 1 1 2 1941 1 1 5 12
"35" 35 1 "a1" 1 0 2 884 1 2 2 12
"36" 36 1 "a1" 1 1 2 1081 1 1 5 12
"37" 37 1 "a1" 1 0 2 1107 1 2 2 12
"38" 38 1 "a1" 1 1 1 1089 1 1 6 12
"39" 39 1 "a1" 1 1 1 743 1 1 6 12
"40" 40 1 "a1" 1 0 2 1258 1 2 2 12
"41" 41 1 "a1" 0 0 2 1458 1 4 2 12
"42" 42 1 "a1" 1 0 2 3779 1 2 2 12
"43" 43 1 "a1" 1 0 2 881 1 2 2 12
"44" 44 1 "a1" 0 0 2 3041 1 4 2 12
"45" 45 1 "a1" 1 1 1 739 1 1 6 12
"46" 46 1 "a1" 1 0 2 1211 1 2 2 12
"47" 47 1 "a1" 1 1 1 843 1 1 6 12
