Order	Id	Blocks_order	Stimulus	Response	Confidence_level	RT	Target_frequency	Type_of_trial	Category	Target_frequency2
1	1	a1	1	0	2	1650	1	2	2	12
2	1	a1	1	1	2	1939	1	1	5	12
3	1	a1	1	1	1	1319	1	1	6	12
4	1	a1	0	0	2	1844	1	4	2	12
5	1	a1	1	1	1	1315	1	1	6	12
6	1	a1	1	1	2	2111	1	1	5	12
7	1	a1	1	0	2	1945	1	2	2	12
8	1	a1	0	0	1	1006	1	4	1	12
9	1	a1	0	0	2	1283	1	4	2	12
10	1	a1	1	0	2	1515	1	2	2	12
11	1	a1	1	1	2	1646	1	1	5	12
12	1	a1	1	1	2	1835	1	1	5	12
13	1	a1	1	1	2	3213	1	1	5	12
14	1	a1	1	0	2	1605	1	2	2	12
15	1	a1	1	0	1	2675	1	2	1	12
16	1	a1	1	0	2	1510	1	2	2	12
17	1	a1	1	0	2	2097	1	2	2	12
18	1	a1	1	1	2	965	1	1	5	12
19	1	a1	1	1	1	937	1	1	6	12
20	1	a1	1	0	2	1846	1	2	2	12
21	1	a1	1	1	2	2341	1	1	5	12
22	1	a1	1	0	2	926	1	2	2	12
23	1	a1	1	1	1	1083	1	1	6	12
24	1	a1	0	0	2	1724	1	4	2	12
25	1	a1	1	1	1	2441	1	1	6	12
26	1	a1	1	1	1	1092	1	1	6	12
27	1	a1	1	1	1	715	1	1	6	12
28	1	a1	1	0	2	1614	1	2	2	12
29	1	a1	1	1	2	1079	1	1	5	12
30	1	a1	0	0	1	928	1	4	1	12
31	1	a1	0	0	2	1293	1	4	2	12
32	1	a1	1	1	1	1208	1	1	6	12
33	1	a1	1	1	1	798	1	1	6	12
34	1	a1	1	1	2	1941	1	1	5	12
35	1	a1	1	0	2	884	1	2	2	12
36	1	a1	1	1	2	1081	1	1	5	12
37	1	a1	1	0	2	1107	1	2	2	12
38	1	a1	1	1	1	1089	1	1	6	12
39	1	a1	1	1	1	743	1	1	6	12
40	1	a1	1	0	2	1258	1	2	2	12
41	1	a1	0	0	2	1458	1	4	2	12
42	1	a1	1	0	2	3779	1	2	2	12
43	1	a1	1	0	2	881	1	2	2	12
44	1	a1	0	0	2	3041	1	4	2	12
45	1	a1	1	1	1	739	1	1	6	12
46	1	a1	1	0	2	1211	1	2	2	12
47	1	a1	1	1	1	843	1	1	6	12
48	1	a1	1	0	2	1152	1	2	2	12
49	1	a1	1	1	1	946	1	1	6	12
50	1	a1	1	0	2	1388	1	2	2	12
51	1	a1	1	1	1	832	1	1	6	12
52	1	a1	1	0	3	2037	1	2	3	12
53	1	a1	0	1	2	1848	1	3	5	12
54	1	a1	1	1	2	952	1	1	5	12
55	1	a1	0	1	2	987	1	3	5	12
56	1	a1	1	1	1	3797	1	1	6	12
57	1	a1	1	0	2	1196	1	2	2	12
58	1	a1	1	1	2	1020	1	1	5	12
59	1	a1	1	1	2	1124	1	1	5	12
60	1	a1	1	1	1	816	1	1	6	12
61	1	a1	1	1	1	792	1	1	6	12
62	1	a1	1	1	1	666	1	1	6	12
63	1	a1	1	1	1	1112	1	1	6	12
64	1	a1	1	1	1	700	1	1	6	12
65	1	a1	1	0	2	1137	1	2	2	12
66	1	a1	1	0	2	1099	1	2	2	12
67	1	a1	1	0	2	1243	1	2	2	12
68	1	a1	1	1	2	1705	1	1	5	12
69	1	a1	1	1	3	2720	1	1	4	12
70	1	a1	1	0	2	2964	1	2	2	12
71	1	a1	1	1	1	988	1	1	6	12
72	1	a1	1	1	1	698	1	1	6	12
73	1	a1	1	1	1	1126	1	1	6	12
74	1	a1	1	0	2	1248	1	2	2	12
75	1	a1	1	1	2	992	1	1	5	12
76	1	a1	1	0	3	2692	1	2	3	12
77	1	a1	0	0	3	982	1	4	3	12
78	1	a1	1	1	1	1118	1	1	6	12
79	1	a1	1	1	1	1073	1	1	6	12
80	1	a1	1	1	1	1190	1	1	6	12
81	1	a1	1	1	3	2103	1	1	4	12
82	1	a1	0	0	3	1644	1	4	3	12
83	1	a1	1	0	3	1097	1	2	3	12
84	1	a1	1	1	1	1803	1	1	6	12
85	1	a1	1	1	2	1419	1	1	5	12
86	1	a1	0	0	2	5063	1	4	2	12
87	1	a1	0	1	1	884	1	3	6	12
88	1	a1	1	1	1	689	1	1	6	12
89	1	a1	1	1	1	1167	1	1	6	12
90	1	a1	1	0	2	890	1	2	2	12
91	1	a1	1	0	2	1035	1	2	2	12
92	1	a1	0	0	2	962	1	4	2	12
93	1	a1	1	1	1	953	1	1	6	12
94	1	a1	1	1	1	822	1	1	6	12
95	1	a1	1	1	1	871	1	1	6	12
96	1	a1	1	1	1	901	1	1	6	12
97	1	a1	1	1	1	788	1	1	6	12
98	1	a1	1	1	1	638	1	1	6	12
99	1	a1	1	1	1	1127	1	1	6	12
100	1	a1	1	0	2	1229	1	2	2	12
101	1	a1	1	1	2	1505	2	1	5	12
102	1	a1	0	0	2	1432	2	4	2	12
103	1	a1	1	0	2	1368	2	2	2	12
104	1	a1	0	0	2	1578	2	4	2	12
105	1	a1	1	1	2	1069	2	1	5	12
106	1	a1	1	1	2	806	2	1	5	12
107	1	a1	1	1	1	1105	2	1	6	12
108	1	a1	0	1	2	1447	2	3	5	12
109	1	a1	1	1	1	894	2	1	6	12
110	1	a1	0	1	2	3186	2	3	5	12
111	1	a1	0	0	2	1998	2	4	2	12
